System_ID,Nanostructure_Type,Dopant,Dopant_Count,Medium,Total Atoms,Adsorption_Site,Distance_A,HOMO_eV,LUMO_eV,Bandgap_eV,Mulliken_Charge_Dopant,Charge_Transfer_e,E_ads_DFT_eV,Recoverytime_sec,electronegativity_eV,chemical potential_eV,hardness_eV,electrophilicity index_eV
BN_Pristine,BNNS,,0,Air,115,Top,4.87,-6.06,-1.19,4.87,-0.021133,0.1567,-0.2674,3.31e-08,3.625,-3.625,2.435,2.698280287474333
BCN_Pristine,BCNNS,,0,Air,115,Top,1.57,-2.11,-1.39,0.72,-0.297594,-0.404,-0.114,8.4e-11,1.75,-1.75,0.36,4.253472222222222
BNC_Pristine,BCNNC,,0,Air,65,Top,1.18,-4.67,-3.49,1.18,0.250804,0.3244,-1.073,150000000.0,4.08,-4.08,0.59,14.107118644067798
BN_Al,BNNS_Alsheet,Al,1,Air,115,Top,4.98,-6.15,-1.17,4.98,-0.013992,0.01932,-0.2482,1.57e-08,3.66,-3.66,2.49,2.6898795180722894
BN_Ga,BNNS_Gasheet,Ga,1,Air,115,Top,4.96,-6.19,-1.23,4.96,0.023796,0.02657,-0.1766,9.67e-10,3.71,-3.71,2.48,2.7750201612903225
BN_Au,BNNS_Ausheet,Au,1,Air,115,Top,2.22,-5.53,-3.79,1.7400000000000002,0.074377,0.18378,-0.7767,13.0,4.66,-4.66,0.8700000000000001,12.48022988505747
BN_Cu,BNNS_Cusheet,Cu,1,Air,115,Top,2.04,-6.08,-4.35,1.7300000000000004,0.04405,0.21312,-1.227,100000000.0,5.215,-5.215,0.8650000000000002,15.720361271676296
BN_Co,BNNS_Cosheet,Co,1,Air,115,Top,2.11,-6.23,-2.79,3.4400000000000004,0.341202,0.23029,-0.8216,84.0,4.51,-4.51,1.7200000000000002,5.91281976744186
BN_Fe,BNNS_Fesheet,Fe,1,Air,115,Top,2.12,-6.11,-2.42,3.6900000000000004,0.288666,0.1981,-1.211,60000000.0,4.265000000000001,-4.265000000000001,1.8450000000000002,4.929600271002711
BN_Ni,BNNS_Nisheet,Ni,1,Air,115,Top,2.08,-6.13,-4.09,2.04,0.276147,0.17252,-0.894,1310.0,5.109999999999999,-5.109999999999999,1.02,12.80004901960784
BCN_Al,BCNNS_Alsheet,Al,1,Air,115,Top,2.92,-2.66,-2.06,0.6,-0.261762,-0.42181,-0.6649,0.1736,2.3600000000000003,-2.3600000000000003,0.3,9.28266666666667
BCN_Ga,BCNNS_Gasheet,Ga,1,Air,115,Top,2.83,-2.67,-2.06,0.61,-0.05274,-0.02309,-0.3634,1.38e-06,2.365,-2.365,0.305,9.169221311475413
BCN_Ni,BCNNS_Nisheet,Ni,1,Air,115,Top,2.6,-2.97,-1.51,1.4600000000000002,0.055909,-0.02043,-0.9149,2970.0,2.24,-2.24,0.7300000000000001,3.4367123287671233
BNC_Al,BNCNC_Alcage,Al,1,Air,65,Top,1.09,-5.01,-3.92,1.09,0.132717,0.15642,-2.034,2.47e+22,4.465,-4.465,0.545,18.29011467889908
BNC_Ga,BNCNC_Gacage,Ga,1,Air,65,Top,1.2,-4.17,-2.97,1.2,0.213658,0.20943,-1.715,9.79e+16,3.5700000000000003,-3.5700000000000003,0.6,10.620750000000001
BNC_Au,BNCNC_Aucage,Au,1,Air,65,Top,2.17,-5.69,-3.92,1.7700000000000005,0.350694,0.12482,-1.28,4450000000.0,4.805,-4.805,0.8850000000000002,13.04408192090395
BNC_Ag,BNCNC_Agcage,Ag,1,Air,65,Top,2.24,-5.58,-4.11,1.4699999999999998,0.1932,0.09207,-0.9,1665.0,4.845000000000001,-4.845000000000001,0.7349999999999999,15.968724489795925
BNC_Cu,BNCNC_Cucage,Cu,1,Air,65,Top,5.48,-5.94,-4.67,1.2700000000000005,0.417279,0.0375,-0.18,1.11e-09,5.305,-5.305,0.6350000000000002,22.1598622047244
BNC_Co,BNCNC_Cocage,Co,1,Air,65,Top,1.95,-4.57,-3.55,1.0200000000000005,0.275255,0.21367,-1.39,323000000000.0,4.0600000000000005,-4.0600000000000005,0.5100000000000002,16.16039215686274
BNC_Fe,BNCNC_Fecage,Fe,1,Air,65,Top,2.12,-5.22,-3.41,1.8099999999999996,0.417918,0.33502,-1.56,242000000000000.0,4.3149999999999995,-4.3149999999999995,0.9049999999999998,10.286864640883978
BNC_Ni,BNCNC_Nicage,Ni,1,Air,65,Top,2.01,-5.43,-3.23,2.1999999999999997,0.326103,0.12908,-0.81,50.0,4.33,-4.33,1.0999999999999999,8.522227272727273
BNC_Pt,BNCNC_Ptcage,Pt,1,Air,65,Top,2.22,-5.51,-3.68,1.8299999999999996,0.272356,0.16797,-1.32,211000000000.0,4.595,-4.595,0.9149999999999998,11.537718579234975
